   PPID     PID    PGID     SID TTY        TPGID STAT   UID   TIME COMMAND
   2309    2441    2309    2309 ?             -1 Sl    1000   3:27 /snap/code/60/usr/share/code/code --type=renderer --disable-color-correct-rendering --no-sandbox --field-trial-handle=1733115423503371358,10694189960674019356,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --disable-gpu-compositing --lang=en-GB --enable-crash-reporter=d64ea17d-7139-4fd3-9715-51ba00472c86,no_channel --global-crash-keys=d64ea17d-7139-4fd3-9715-51ba00472c86,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.55.0 --standard-schemes=vscode-webview,vscode-webview-resource,vscode-file --secure-schemes=vscode-webview,vscode-webview-resource,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-webview-resource,vscode-file --fetch-schemes=vscode-webview,vscode-webview-resource,vscode-file --service-worker-schemes --streaming-schemes --app-path=/snap/code/60/usr/share/code/resources/app --node-integration --webview-tag --no-sandbox --no-zygote --native-window-open --preload=/snap/code/60/usr/share/code/resources/app/out/vs/base/parts/sandbox/electron-browser/preload.js --background-color=#1e1e1e --num-raster-threads=1 --renderer-client-id=10 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   2441    2542    2309    2309 ?             -1 Sl    1000   0:16 /snap/code/60/usr/share/code/code --inspect-port=0 /snap/code/60/usr/share/code/resources/app/out/bootstrap-fork --type=extensionHost
   2309    2543    2309    2309 ?             -1 Sl    1000   0:10 /snap/code/60/usr/share/code/code --type=renderer --disable-color-correct-rendering --no-sandbox --field-trial-handle=1733115423503371358,10694189960674019356,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --disable-gpu-compositing --lang=en-GB --enable-crash-reporter=d64ea17d-7139-4fd3-9715-51ba00472c86,no_channel --global-crash-keys=d64ea17d-7139-4fd3-9715-51ba00472c86,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.55.0 --standard-schemes=vscode-webview,vscode-webview-resource,vscode-file --secure-schemes=vscode-webview,vscode-webview-resource,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-webview-resource,vscode-file --fetch-schemes=vscode-webview,vscode-webview-resource,vscode-file --service-worker-schemes --streaming-schemes --app-path=/snap/code/60/usr/share/code/resources/app --node-integration --no-sandbox --no-zygote --native-window-open --preload=/snap/code/60/usr/share/code/resources/app/out/vs/base/parts/sandbox/electron-browser/preload.js --background-color=#1e1e1e --disable-blink-features=Auxclick --num-raster-threads=1 --renderer-client-id=12 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   2420    2545    2309    2309 ?             -1 Sl    1000   0:10 /snap/code/60/usr/share/code/code --inspect-port=0 /snap/code/60/usr/share/code/resources/app/out/bootstrap-fork --type=extensionHost
   2431    2550    2309    2309 ?             -1 Sl    1000   0:08 /snap/code/60/usr/share/code/code --inspect-port=0 /snap/code/60/usr/share/code/resources/app/out/bootstrap-fork --type=extensionHost
   2441    2655    2309    2309 ?             -1 Sl    1000   0:01 /snap/code/60/usr/share/code/code /snap/code/60/usr/share/code/resources/app/out/bootstrap-fork --type=watcherService
   2420    2658    2309    2309 ?             -1 Sl    1000   0:00 /snap/code/60/usr/share/code/code /snap/code/60/usr/share/code/resources/app/out/bootstrap-fork --type=watcherService
   2543    2660    2309    2309 ?             -1 Sl    1000   0:20 /snap/code/60/usr/share/code/code /snap/code/60/usr/share/code/resources/app/out/bootstrap-fork --type=ptyHost
   2431    2675    2309    2309 ?             -1 Sl    1000   0:00 /snap/code/60/usr/share/code/code /snap/code/60/usr/share/code/resources/app/out/bootstrap-fork --type=watcherService
   2545    2814    2309    2309 ?             -1 Sl    1000   0:08 /home/user/.vscode/extensions/ms-vscode.cpptools-1.2.2/bin/cpptools
   2542    2834    2309    2309 ?             -1 Sl    1000   0:10 /home/user/.vscode/extensions/ms-vscode.cpptools-1.2.2/bin/cpptools
   1360    2886    2886    2886 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfsd-metadata
   2660    2887    2887    2887 pts/0       2887 Ss+   1000   0:00 /bin/bash
   1594    2910    1594    1594 ?             -1 Sl    1000   0:00 update-notifier
   2814    2947    2309    2309 ?             -1 Sl    1000   0:01 /home/user/.vscode/extensions/ms-vscode.cpptools-1.2.2/bin/cpptools-srv 2814 {5CEF06D5-A240-4A95-A840-7F5910D81FFE}
   2834    4853    2309    2309 ?             -1 Sl    1000   0:01 /home/user/.vscode/extensions/ms-vscode.cpptools-1.2.2/bin/cpptools-srv 2834 {B0BD2AC8-731A-442F-976C-234EDA4991AA}
   2834    4913    2309    2309 ?             -1 Sl    1000   0:01 /home/user/.vscode/extensions/ms-vscode.cpptools-1.2.2/bin/cpptools-srv 2834 {CAEDD381-E356-4B4B-A6A0-2C584AD0FFA2}
   1360    5194    1375    1375 ?             -1 Sl    1000   0:02 /usr/bin/nautilus --gapplication-service
   2660    5458    5458    5458 pts/1       6014 Ss    1000   0:00 /bin/bash
   1360    5478    1375    1375 ?             -1 Sl    1000   0:01 /usr/bin/gedit --gapplication-service
   1384    5486    1384    1384 ?             -1 Sl    1000   0:00 /usr/libexec/gvfsd-network --spawner :1.3 /org/gtk/gvfs/exec_spaw/1
   1384    5499    1384    1384 ?             -1 Sl    1000   0:00 /usr/libexec/gvfsd-dnssd --spawner :1.3 /org/gtk/gvfs/exec_spaw/3
   2834    5786    2309    2309 ?             -1 Sl    1000   0:00 /home/user/.vscode/extensions/ms-vscode.cpptools-1.2.2/bin/cpptools-srv 2834 {AFBE6FA5-B546-4829-BC9A-606CD6B8466D}
   5458    6014    6014    5458 pts/1       6014 R+    1000   0:00 ps -xj
